State,Program/Opportunity Name,"Grade Levels
(Key: 0 - K and under, 13 - over high school)",,Eligibility Requirements,Cost/Funding,Cost/Funding Breakdown,,,,Deadlines,Deadlines,,Website/Link,Category (Type of Opportunity),"Field (Area of Focus)
Original",Delivery Context (Where Offered),Notes,,,,,,,,,,,,,,,,
,,Lower Bound,Upper Bound,,,Cost,,,Funding,,Season,Month,,,,,,,,,,,,,,,,,,,,,
,,,,,,$,Fee?,Offers Finantial Aid?,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AHSAA Interscholastic Athletics,7    ,12    ,Enrolled in member school; academic/age/transfer rules; physical,School-funded; $150-$175,162.50,Y,N,School-funded,Seasons by sport (Fall/Winter/Spring); school deadlines,Seasonal,,https://www.ahsaa.com/,Competition,Sports,At School,State association for HS athletics; championships & eligibility,,,,,,,,,,,,,,,,
Alabama,Alabama DECA,9    ,12    ,Active DECA chapter; membership,$14 ,14.00,Y,N,,"SCDC Reg. Jan 16, 2026; Payment Feb 9, 2026; ICDC Membership Feb 15, 2026; State Action Project Dec 12, 2025",,January,https://www.alabamadeca.org/,Club,Business,At School,Career & technical student organization (marketing/finance),,,,,,,,,,,,,,,,
Alabama,Alabama Early College Opportunities,9    ,12    ,Current HS students,,,,,,,,,ache.edu,Academic Program,General Academic,Through School,Dual enrollment options,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Alabama,Alabama FFA Association,6    ,12    ,Enrolled in agricultural education,$12; School/CTE funded,12.00,Y,N,School-funded,Year-round; state convention spring,Rolling Admission,,https://alabamaffa.org/,Club,Leadership,At School,Leadership & career development events,,,,,,,,,,,,,,,,
Alabama,Alabama Governor’s School (Samford University),11    ,12    ,Alabama residency; nomination/application,$25-$1000; scholarships available,512.50,Y,Y,,Summer (apps due spring),Spring,,https://www.samford.edu/programs/alabama-governors-school/,Academic Program,Leadership,Outside School,Two-week residential academic/leadership program,,,,,,,,,,,,,,,,
Alabama,Alabama HOSA – Future Health Professionals,9    ,12    ,Active HOSA chapter; membership,$20 ,20.00,Y,N,,Deadlines vary; state conference spring,Varies,,https://alabamahosa.org/,Club,Health,At School,Health science competitions & leadership,,,,,,,,,,,,,,,,
Alabama,Alabama Interscholastic Cycling Association (NICA),6    ,12    ,Join school/community team; coach & waiver,$50; scholarships available,50.00,Y,Y,,Season Feb–May (spring); registration opens fall,Spring,,https://www.alabamaMTB.org/,Competition,Sports,Outside School,Scholastic mountain biking league; statewide race series,,,,,,,,,,,,,,,,
Alabama,Alabama Key Club,9    ,12    ,Open to all students,,,,,,,Varies,,alakeyclub.org,Club,Leadership & Community Service,At School,Service & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
